"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.952497110E-1,-2.470500171E-1,9.643050194E0,2.080950022E0
4.965097130E-1,-2.569500208E-1,9.651000023E0,2.050050020E0
4.977697130E-1,-3.000000119E-1,9.655050278E0,2.019000053E0
4.990297130E-1,-2.449500114E-1,9.622050285E0,2.064000130E0
5.002897130E-1,-2.350500077E-1,9.627000809E0,2.076000214E0
5.015497980E-1,-3.289500177E-1,9.628950119E0,2.047950029E0
5.028098000E-1,-2.860500216E-1,9.627000809E0,2.031000137E0
5.040698000E-1,-2.760000229E-1,9.615000725E0,2.062050104E0
5.053298000E-1,-2.639999986E-1,9.639000893E0,2.086050034E0
5.065898000E-1,-2.710500062E-1,9.655050278E0,2.028000116E0
5.078500290E-1,-2.830500007E-1,9.672000885E0,1.978050113E0
5.091098000E-1,-2.929500043E-1,9.673950195E0,2.040000200E0
5.103700290E-1,-2.809500098E-1,9.658050537E0,2.042999983E0
5.116300350E-1,-2.809500098E-1,9.643050194E0,2.083950043E0
5.128900350E-1,-2.520000041E-1,9.631050110E0,2.038050175E0
5.141500350E-1,-3.090000153E-1,9.631050110E0,2.026050091E0
5.154100350E-1,-2.880000174E-1,9.631050110E0,2.008949995E0
5.166700350E-1,-2.860500216E-1,9.640950203E0,2.055000067E0
